Item Type,Order Type,PO No,Curr,PO Stat Code,Supplier,OrderNo,Buyer,Item Number,Item Description,WH,POCreateDate,PO Req Del Date,PO Conf Del Date,PO Rcvd Date,PO Value,Qty,,Create to Req Days,Req to Conf Days,Conf to Recvd Days,Req to Recvd Days
20 - Parts Item,AIR,3009554,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,3976508M1,ROCKER ARM GASKET,AML,1/10/2020,4/11/2020,,,50,1,,24,0,0,0
20 - Parts Item,AIR,3009554,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,ACP0492840,FLANGE,AML,1/10/2020,4/11/2020,,,65,1,,24,0,0,0
20 - Parts Item,AIR,3009554,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,V35740800,SHIELD LH,AML,1/10/2020,4/11/2020,,,94,1,,24,0,0,0
20 - Parts Item,AIR,3009554,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,3976508M1,ROCKER ARM GASKET,AML,1/10/2020,21/10/2020,19/10/2020,,50,1,,14,-2,0,0
20 - Parts Item,AIR,3009565,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,3476230M1,HOLDER,AML,5/10/2020,4/11/2020,,,1,1,,22,0,0,0
20 - Parts Item,AIR,3009565,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,ACW194841B,WHEEL RIM,AML,5/10/2020,4/11/2020,,,"1,220",4,,22,0,0,0
20 - Parts Item,AIR,3009565,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,ACV011172B,FRAME,AML,5/10/2020,21/10/2020,19/10/2020,,"5,716",3,,12,-2,0,0
20 - Parts Item,AIR,3009565,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,ACV0142730,SUPPORT,AML,5/10/2020,21/10/2020,19/10/2020,,11,3,,12,-2,0,0
20 - Parts Item,AIR,3009565,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,V37062500,SLEEVE BUSHING,AML,5/10/2020,21/10/2020,19/10/2020,,2,1,,12,-2,0,0
20 - Parts Item,AIR,3009565,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,V837074613,ACTUATING ROD,AML,5/10/2020,21/10/2020,19/10/2020,,42,1,,12,-2,0,0
20 - Parts Item,AIR,3009565,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,365980X1,NUT,AML,5/10/2020,26/10/2020,22/10/2020,,3,2,,15,-2,0,0
20 - Parts Item,AIR,3009565,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,3011175X1,SCREW,AML,5/10/2020,19/10/2020,15/10/2020,16/10/2020,4,3,,10,-2,1,-1
20 - Parts Item,AIR,3009569,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,377914X1,SCREW,AML,6/10/2020,4/11/2020,,,16,1,,21,0,0,0
20 - Parts Item,AIR,3009569,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,894805M1,SHAFT,AML,6/10/2020,4/11/2020,,,118,1,,21,0,0,0
20 - Parts Item,AIR,3009569,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,3933966M1,FLOOR MAT,AML,6/10/2020,4/11/2020,,,127,1,,21,0,0,0
20 - Parts Item,AIR,3009569,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,4305579M3,PIN,AML,6/10/2020,4/11/2020,,,21,1,,21,0,0,0
20 - Parts Item,AIR,3009569,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,1.72974E+11,HINGE / REAR,AML,6/10/2020,4/11/2020,,,1,1,,21,0,0,0
20 - Parts Item,AIR,3009569,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,8.1681E+11,HINGE PIN,AML,6/10/2020,4/11/2020,,,3,2,,21,0,0,0
20 - Parts Item,AIR,3009569,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,V30337100,PIN,AML,6/10/2020,4/11/2020,,,3,1,,21,0,0,0
20 - Parts Item,AIR,3009569,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3385311M91,LOCK-LH,AML,6/10/2020,21/10/2020,19/10/2020,,90,1,,11,-2,0,0
20 - Parts Item,AIR,3009569,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3933619M1,MF LEATHERETTE SEAT COVER,AML,6/10/2020,21/10/2020,19/10/2020,,130,1,,11,-2,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,3640993M1,GASKET,AML,6/10/2020,19/10/2020,22/10/2020,,4,1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,3780483M1,NON-RETURN VALVE,AML,6/10/2020,19/10/2020,22/10/2020,,25,1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,3812440M91,WIPER ARM,AML,6/10/2020,19/10/2020,22/10/2020,,13,1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,4381630M96,SILENCER,AML,6/10/2020,19/10/2020,22/10/2020,,"3,206",1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,1.997E+11,MUDGUARD COVER,AML,6/10/2020,19/10/2020,22/10/2020,,41,1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,9.31901E+11,ELECTRICAL CONNECTOR,AML,6/10/2020,19/10/2020,22/10/2020,,1,1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,9.4595E+11,GASKETS,AML,6/10/2020,19/10/2020,22/10/2020,,5,10,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,ACW019814B,THERMOSTAT,AML,6/10/2020,19/10/2020,22/10/2020,,23,1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,F842201110130,SHAFT SEAL,AML,6/10/2020,19/10/2020,22/10/2020,,114,6,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,G725891070050,NOZZLE,AML,6/10/2020,19/10/2020,22/10/2020,,12,1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,G737921031010,VALVE,AML,6/10/2020,19/10/2020,22/10/2020,,412,1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,H205810040030,GAS STRUT,AML,6/10/2020,19/10/2020,22/10/2020,,95,10,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,H350920030230,BOOST PIPE,AML,6/10/2020,19/10/2020,22/10/2020,,10,1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,H737812070040,COVER,AML,6/10/2020,19/10/2020,22/10/2020,,7,1,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,VA064554,RIGHT HAND GLASS,AML,6/10/2020,19/10/2020,22/10/2020,,"1,219",2,,9,3,0,0
20 - Parts Item,AIR,3009569,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,X483902401000,SCREW,AML,6/10/2020,19/10/2020,22/10/2020,,5,1,,9,3,0,0
20 - Parts Item,AIR,3009572,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,ACW0998650,HEX FLANGE NUT,AML,7/10/2020,26/10/2020,,16/10/2020,17,99,,13,0,0,-6
20 - Parts Item,AIR,3009572,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,005G080150100,FLANGED PIN SHAFT Z=20 1 3/4,AML,7/10/2020,21/10/2020,19/10/2020,,159,1,,10,-2,0,0
20 - Parts Item,AIR,3009572,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,1610188M1,SEAL,AML,7/10/2020,21/10/2020,19/10/2020,,14,1,,10,-2,0,0
20 - Parts Item,AIR,3009572,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,1824634M2,HOSE,AML,7/10/2020,21/10/2020,19/10/2020,,29,1,,10,-2,0,0
20 - Parts Item,AIR,3009572,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3382825M1,PIN,AML,7/10/2020,21/10/2020,19/10/2020,,11,3,,10,-2,0,0
